longitude,latitude,hcho,no2,aqi,hcho_index,no2_index,category
68.76603499934937,16.39425393518127,0.00010358886503,4.646311791997895e-05,95.0,198.50357000080479,26.023605381993633,Moderate
86.64250915332785,26.365553588907957,0.0002204576568145,7.541422423105886e-05,241.2,428.7461761071984,116.2401314868194,Very Unhealthy
77.92885089736849,17.023074634064933,0.0001750168588763,6.298127657094045e-05,182.2,339.223493609228,77.4969713779522,Unhealthy
70.83216015282427,20.70616729895497,0.0001584326176823,6.303958807871698e-05,169.2,306.55096525927723,77.67867986283727,Unhealthy
78.6475031246641,24.92824913431672,0.0001781890099453,7.507907382368239e-05,207.3,345.4729321285933,115.1957463378985,Very Unhealthy
84.93571011350076,10.73486764522828,9.2822390438721e-05,4.113938028908492e-05,76.6,177.29259373739555,9.433941768034174,Moderate
87.63065596585932,28.431678742382854,6.558720450370535e-05,5.049969714567461e-05,72.6,123.63669388833193,38.60226649346211,Moderate
85.47469928397247,26.275722060496005,0.0002398273818242,8.147124118925895e-05,267.8,466.9063718078696,135.1148170568731,Very Unhealthy
95.26633588087525,26.90454275937967,0.0001701879005667,5.977642893193484e-05,172.4,329.7099876594823,67.51012605399009,Unhealthy
86.7323406817398,26.724879702555764,0.0002077814195731,7.184858920717449e-05,224.6,403.77278626104834,105.1290118716966,Very Unhealthy
82.24076426114219,26.18589053208405,0.0002238799746327,8.162824915081051e-05,255.6,435.48846685355676,135.6040803240444,Very Unhealthy
88.70863430680275,25.107912191140624,0.0002184010956949,8.167239394788375e-05,251.3,424.6945556141337,135.7416429510044,Very Unhealthy
74.42542128930235,20.975661884190828,0.0001809777992473,6.471569670297601e-05,190.1,350.96711160088654,82.90171679379966,Unhealthy
92.48155850010474,10.64503611681633,8.824054584381096e-05,3.948788993708958e-05,69.9,168.26592524704418,4.287619522115904,Moderate
73.97626364724259,19.807852014835447,0.0001655694375473,6.945375393312024e-05,186.8,320.6111773992252,97.66630158018052,Unhealthy
80.62379674972705,25.37740677637648,0.0001932310836824,7.517731309233873e-05,219.3,375.1072442968977,115.50187645431004,Very Unhealthy
95.62566199452306,15.855264764709554,0.0001630379297893,4.78892578638656e-05,144.5,315.62386697459755,30.467697780201746,Unhealthy
77.30003019848482,29.86898319697409,0.0002203440098088,9.019088477482398e-05,268.8,428.5222807253003,162.28669590354923,Very Unhealthy
95.62566199452306,29.329994026502376,0.000102509768583,4.726727722525458e-05,95.7,196.37764763604235,28.52950129413267,Moderate
80.80345980655096,15.675601707885647,0.0001416897089018,5.338786218443365e-05,138.0,273.5658467125549,47.60227546771435,Unhealthy
88.43913972156689,12.35183515664342,9.034361566721732e-05,4.154213421986764e-05,75.4,172.4091722984697,10.688990888432528,Moderate
94.18835753993184,32.743592106156555,6.662415148151377e-05,4.9173591830012886e-05,71.0,125.67957780044597,34.469898854635176,Moderate
92.30189544328084,8.57891096334143,9.83870136817755e-05,3.947420754051724e-05,77.8,188.2554293919608,4.244982868639454,Moderate
68.49654041411351,16.214590878357363,0.0001040658836438,4.600062564111861e-05,94.5,199.44334192045545,24.582401501880923,Moderate
71.73047543694379,36.15719018581074,5.53816600805688e-05,5.078703639202309e-05,65.1,103.53080326656227,39.497664007484474,Moderate
94.81717823881549,23.13161856607768,0.0001664524612405,5.635844254154094e-05,163.1,322.3508178393433,56.859104462566535,Unhealthy
90.41543334662984,22.50279786719401,0.0001955871068121,7.21938506941088e-05,215.6,379.74883335712633,106.20490484843856,Very Unhealthy
69.75418181188084,24.47909149225696,0.0001258135984963,6.077345574318686e-05,139.3,242.28840318994673,70.61702961677739,Unhealthy
95.715493522935,26.365553588907957,0.000158204763285,5.518428735244213e-05,154.4,306.1020704820993,53.200239024740085,Unhealthy
96.52397727864258,29.50965708332628,2.981537563019453e-05,4.706168884703784e-05,38.0,53.162797655912655,27.888853261862437,Good
83.04924801684976,17.023074634064933,0.0001504562769176,5.7035987770845503e-05,151.7,290.8368173091248,58.97044957697972,Unhealthy
91.40358015916132,22.32313481037011,0.0001743054222567,6.284308439729614e-05,181.4,337.82189598102394,77.0663412767359,Unhealthy
72.35929613582745,17.38240074771274,0.0001530838231062,5.441989686198268e-05,148.9,296.01333255233635,50.818269441407665,Unhealthy
93.55953684104816,28.61134179920676,5.712717573171644e-05,4.5769716024626175e-05,57.1,106.96963468069035,23.862848224009383,Moderate
93.91886295469595,24.119765378609152,0.0001327016529685,5.480291760061601e-05,133.6,255.85852390794378,52.01182660963161,Unhealthy
